Service_ID,Resource_ID,Assigned,Normalized_KPI,Normalized_KVI,Min_KPI,Min_KVI,KPI_Service,KVI_Service,KPI_Resource,KVI_Resource,Global_KPI,Global_KVI
3,1,0,[0.17647059 1.         0.22222222 0.47826087],[1.         1.         0.16898704],0.4692384200056834,0.7157657245833119,0.001,0.001,"[3.0, 2.0, 1.0, 5.0]","[11.0, 5.0, 0.004018856670206399]","[6.0, 19.0, 5.0, 6.0]","[5.0, 5.0, 0.1437256249066081]"
3,2,0,[0.11764706 0.61904762 1.         1.        ],[1.5        1.         0.76026535],0.6841736694677871,1.0758875643669419,0.001,0.001,"[3.0, 2.0, 1.0, 5.0]","[11.0, 5.0, 0.004018856670206399]","[5.0, 11.0, 19.0, 18.0]","[2.0, 5.0, 0.6325535178856858]"
3,3,0,[0.58823529 0.9047619  0.72222222 0.65217391],[1.66666667 0.9        0.05643983],0.7168483335363132,0.8656251436032547,0.001,0.001,"[3.0, 2.0, 1.0, 5.0]","[11.0, 5.0, 0.004018856670206399]","[13.0, 17.0, 14.0, 10.0]","[1.0, 4.0, 0.050679393051513824]"
3,4,0,[0.11764706 1.         0.83333333 0.7826087 ],[1.5        0.8        0.12975581],0.6833972719522592,0.801819417118657,0.001,0.001,"[3.0, 2.0, 1.0, 5.0]","[11.0, 5.0, 0.004018856670206399]","[5.0, 19.0, 16.0, 13.0]","[2.0, 3.0, 0.11129196085944555]"
3,5,0,[0.05882353 0.52380952 0.66666667 0.82608696],[1.66666667 0.6        1.        ],0.5188466691024236,1.078,0.001,0.001,"[3.0, 2.0, 1.0, 5.0]","[11.0, 5.0, 0.004018856670206399]","[2.0, 9.0, 13.0, 14.0]","[1.0, 1.0, 0.8307495028242984]"
3,6,1,[0.88235294 0.71428571 0.05555556 0.56521739],[1.5        1.         0.77707248],0.5543529005805221,1.0814339186852475,0.001,0.001,"[3.0, 2.0, 1.0, 5.0]","[11.0, 5.0, 0.004018856670206399]","[18.0, 13.0, 2.0, 8.0]","[2.0, 5.0, 0.6464484908837836]"
3,7,0,[1.         0.47619048 0.61111111 0.52173913],[1.16666667 0.6        0.92464563],0.6522601794340925,0.8881330567737027,0.001,0.001,"[3.0, 2.0, 1.0, 5.0]","[11.0, 5.0, 0.004018856670206399]","[20.0, 8.0, 12.0, 7.0]","[4.0, 1.0, 0.7684517330020134]"
3,8,0,[0.11764706 0.85714286 0.33333333 0.39130435],[1.66666667 0.6        0.48474597],0.4248568992814517,0.9079661696745867,0.001,0.001,"[3.0, 2.0, 1.0, 5.0]","[11.0, 5.0, 0.004018856670206399]","[5.0, 16.0, 7.0, 4.0]","[1.0, 1.0, 0.40477320460313393]"
3,9,0,[0.76470588 1.         0.61111111 0.56521739],[1.         0.7        0.45153892],0.7352585961921,0.7100078436194073,0.001,0.001,"[3.0, 2.0, 1.0, 5.0]","[11.0, 5.0, 0.004018856670206399]","[16.0, 19.0, 12.0, 8.0]","[5.0, 2.0, 0.3773199198141473]"
4,0,0,[0.41176471 0.76190476 0.4        0.57142857],[1.         0.6        0.04122803],0.5362745098039214,0.5416052503512546,0.001,0.001,"[3.0, 2.0, 4.0, 3.0]","[35.0, 5.0, 0.13838622903614034]","[10.0, 14.0, 10.0, 9.0]","[5.0, 1.0, 0.16693100380554063]"
4,1,0,[0.17647059 1.         0.06666667 0.42857143],[1.         1.         0.00771184],0.41792717086834735,0.6625449077153007,0.001,0.001,"[3.0, 2.0, 4.0, 3.0]","[35.0, 5.0, 0.13838622903614034]","[6.0, 19.0, 5.0, 6.0]","[5.0, 5.0, 0.1437256249066081]"
4,2,0,[0.11764706 0.61904762 1.         1.        ],[1.1        1.         0.71373989],0.6841736694677871,0.928534164641792,0.001,0.001,"[3.0, 2.0, 4.0, 3.0]","[35.0, 5.0, 0.13838622903614034]","[5.0, 11.0, 19.0, 18.0]","[2.0, 5.0, 0.6325535178856858]"
4,3,0,[0.58823529 0.9047619  0.66666667 0.61904762],[1.13333333 0.9        0.12667748],0.6946778711484594,0.7128035689798626,0.001,0.001,"[3.0, 2.0, 4.0, 3.0]","[35.0, 5.0, 0.13838622903614034]","[13.0, 17.0, 14.0, 10.0]","[1.0, 4.0, 0.050679393051513824]"
4,4,0,[0.11764706 1.         0.8        0.76190476],[1.1        0.8        0.03913302],0.6698879551820729,0.6399138977135361,0.001,0.001,"[3.0, 2.0, 4.0, 3.0]","[35.0, 5.0, 0.13838622903614034]","[5.0, 19.0, 16.0, 13.0]","[2.0, 3.0, 0.11129196085944555]"
4,5,0,[0.05882353 0.52380952 0.6        0.80952381],[1.13333333 0.6        1.        ],0.4980392156862745,0.9020000000000001,0.001,0.001,"[3.0, 2.0, 4.0, 3.0]","[35.0, 5.0, 0.13838622903614034]","[2.0, 9.0, 13.0, 14.0]","[1.0, 1.0, 0.8307495028242984]"
4,6,1,[0.88235294 0.71428571 0.13333333 0.52380952],[1.1       1.        0.7338088],0.5634453781512605,0.9351569034018713,0.001,0.001,"[3.0, 2.0, 4.0, 3.0]","[35.0, 5.0, 0.13838622903614034]","[18.0, 13.0, 2.0, 8.0]","[2.0, 5.0, 0.6464484908837836]"
4,7,0,[1.         0.47619048 0.53333333 0.47619048],[1.03333333 0.6        0.91002156],0.6214285714285714,0.839307113592446,0.001,0.001,"[3.0, 2.0, 4.0, 3.0]","[35.0, 5.0, 0.13838622903614034]","[20.0, 8.0, 12.0, 7.0]","[4.0, 1.0, 0.7684517330020134]"
4,8,0,[0.11764706 0.85714286 0.2        0.33333333],[1.13333333 0.6        0.3847503 ],0.37703081232492996,0.6989675981744881,0.001,0.001,"[3.0, 2.0, 4.0, 3.0]","[35.0, 5.0, 0.13838622903614034]","[5.0, 16.0, 7.0, 4.0]","[1.0, 1.0, 0.40477320460313393]"
4,9,0,[0.76470588 1.         0.53333333 0.52380952],[1.         0.7        0.34509874],0.7054621848739495,0.674882582947153,0.001,0.001,"[3.0, 2.0, 4.0, 3.0]","[35.0, 5.0, 0.13838622903614034]","[16.0, 19.0, 12.0, 8.0]","[5.0, 2.0, 0.3773199198141473]"
